Date,Head_314740
1970-08-31 07:01:00,331.14
1970-09-03 07:01:00,330.98
1970-09-07 07:01:00,331.01
1970-09-10 07:01:00,331.05
1970-09-14 07:01:00,330.88
1970-09-17 07:01:00,330.77
1970-09-21 07:01:00,330.69
1970-09-24 07:01:00,330.61
1970-09-28 07:01:00,330.55
1970-10-01 07:01:00,330.48
1970-10-05 07:01:00,330.62
1970-10-08 07:01:00,330.65
1970-10-12 07:01:00,330.53
1970-10-15 07:01:00,330.47
1970-10-19 07:01:00,330.4
1970-10-22 07:01:00,330.42
1970-10-26 07:01:00,330.36
1970-10-29 07:01:00,330.36
1970-11-02 07:01:00,330.35
1970-11-05 07:01:00,330.32
1970-11-09 07:01:00,330.29
1970-11-12 07:01:00,330.26
1970-11-16 07:01:00,330.32
1970-11-19 07:01:00,330.25
1970-11-23 07:01:00,330.46
1970-11-26 07:01:00,330.38
1970-11-30 07:01:00,330.33
1970-12-03 07:01:00,330.32
1970-12-07 07:01:00,330.27
1970-12-10 07:01:00,330.23
1970-12-14 07:01:00,330.17
1970-12-17 07:01:00,330.14
1970-12-21 07:01:00,330.06
1970-12-24 07:01:00,330.03
1970-12-28 07:01:00,329.99
1970-12-31 07:01:00,330.02
1971-01-04 07:01:00,329.99
1971-01-07 07:01:00,329.98
1971-01-11 07:01:00,329.94
1971-01-14 07:01:00,329.94
1971-01-18 07:01:00,329.95
1971-01-21 07:01:00,329.94
1971-01-25 07:01:00,329.97
1971-01-28 07:01:00,329.94
1971-02-01 07:01:00,329.92
1971-02-04 07:01:00,329.92
1971-02-08 07:01:00,329.89
1971-02-11 07:01:00,329.89
1971-02-15 07:01:00,329.91
1971-02-18 07:01:00,329.88
1971-02-22 07:01:00,329.9
1971-02-25 07:01:00,329.87
1971-03-01 07:01:00,329.81
1971-03-04 07:01:00,329.8
1971-03-08 07:01:00,329.77
1971-03-11 07:01:00,329.79
1971-03-15 07:01:00,329.82
1971-03-18 07:01:00,329.88
1971-03-22 07:01:00,330.07
1971-03-25 07:01:00,330.1
