date,head
1998-11-18,1.87
1998-12-03,1.73
1998-12-17,1.81
1999-01-18,1.82
1999-02-02,1.73
1999-02-17,1.76
1999-03-04,2.01
1999-03-18,1.74
1999-03-31,1.61
1999-04-15,1.72
1999-04-29,1.7
1999-05-19,1.51
1999-06-01,1.44
1999-06-17,1.41
1999-07-01,1.36
1999-07-15,1.28
1999-07-28,1.29
1999-08-31,1.21
1999-09-16,1.24
1999-09-29,1.2
1999-10-20,1.31
1999-11-02,1.21
1999-11-18,1.26
1999-12-02,1.35
1999-12-15,1.59
2000-01-18,1.56
2000-01-31,1.52
2000-02-17,1.56
2000-03-01,1.76
2000-03-16,1.75
2000-03-30,1.63
2000-04-19,1.51
2000-05-03,1.42
2000-05-15,1.45
2000-05-29,1.43
2000-06-14,1.36
2000-06-28,1.26
2000-07-14,1.29
2000-08-01,1.28
2000-08-14,1.18
2000-08-28,1.15
2000-09-14,1.12
2000-09-28,1.18
2000-10-16,1.23
2000-10-28,1.3
2000-11-14,1.47
2000-11-28,1.55
2000-12-14,1.59
2001-01-15,1.63
2001-01-28,1.6
2001-02-14,1.77
2001-02-28,1.63
2001-03-15,1.57
2001-06-15,1.31
2001-06-28,1.26
2001-07-16,1.24
2001-08-03,1.28
2001-08-15,1.41
2001-08-29,1.29
2001-09-14,1.41
2001-09-28,1.64
2001-10-31,1.38
2001-11-15,1.38
2001-11-28,1.41
2001-12-13,1.56
2002-01-17,1.6
2002-01-29,1.87
2002-02-19,1.83
2002-03-06,1.83
2002-03-19,1.66
2002-03-29,1.58
2002-05-05,1.46
2002-05-17,1.44
2002-05-31,1.4
2002-06-20,1.4
2002-06-28,1.4
2002-07-18,1.34
2002-08-15,1.42
2002-08-30,1.32
2002-09-23,1.22
2002-09-30,1.21
2002-10-15,1.23
2002-10-28,1.27
2002-11-15,1.47
2002-11-28,1.38
2002-12-17,1.31
2003-01-14,1.59
2003-01-28,1.56
2003-02-13,1.55
2003-02-28,1.43
2003-03-14,1.41
2003-03-28,1.36
2003-04-15,1.31
2003-05-12,1.29
2003-05-14,1.29
2003-05-28,1.37
2003-06-17,1.23
2003-07-03,1.16
2003-07-17,1.09
2003-07-28,1.04
2003-08-14,0.96
2003-09-01,0.93
2003-09-19,0.94
2003-09-30,0.99
2003-10-14,1.13
2003-10-28,1.04
2003-11-14,1.02
2003-11-28,1.04
2003-12-15,1.17
2003-12-29,1.31
2004-01-14,1.39
2004-01-28,1.53
2004-02-14,1.61
2004-02-28,1.5
2004-03-15,1.41
2004-03-29,1.42
2004-04-14,1.38
2004-04-28,1.32
2004-05-14,1.23
2004-05-28,1.15
2004-06-14,1.2
2004-06-28,1.19
2004-07-14,1.32
2004-07-28,1.3
2004-08-16,1.34
2004-08-30,1.38
2004-09-14,1.3
2004-09-28,1.34
2004-10-14,1.3
2004-10-28,1.21
2004-11-15,1.18
2004-11-30,1.35
2004-12-14,1.31
2005-01-14,1.37
2005-01-28,1.4
2005-02-14,1.57
2005-02-28,1.48
2005-03-14,1.36
2005-03-29,1.33
2005-04-14,1.22
2005-04-28,1.25
2005-05-16,1.38
2005-05-30,1.32
2005-06-14,1.25
2005-06-28,1.11
2005-07-14,1.23
2005-07-28,1.2
2005-08-29,1.12
2005-09-14,1.16
2005-10-14,1.25
