Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,26-04-2016,,,,,,,,
Gegevens beschikbaar:,16-10-1972,tot:,05-11-2010,,,,,,,,
Datum: ,26-04-2016,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32D0136,001,32DP0136,153344,457123,1100,01-10-1972,16-10-1972,22-06-1988,1124,24,124,-76
B32D0136,001,32DP0136,153344,457123,1095,22-06-1988,22-06-1988,05-11-2010,1125,30,124,-76


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32D0136,001,28-07-1978,739,715,385,,,,,,
B32D0136,001,14-08-1978,741,717,383,,,,,,
B32D0136,001,28-08-1978,742,718,382,,,,,,
B32D0136,001,14-09-1978,745,721,379,,,,,,
B32D0136,001,29-09-1978,744,720,380,,,,,,
B32D0136,001,16-10-1978,742,718,382,,,,,,
B32D0136,001,30-10-1978,743,719,381,,,,,,
B32D0136,001,14-11-1978,745,721,379,,,,,,
B32D0136,001,28-11-1978,751,727,373,,,,,,
B32D0136,001,15-12-1978,747,723,377,,,,,,
B32D0136,001,15-01-1979,747,723,377,,,,,,
B32D0136,001,31-01-1979,742,718,382,,,,,,
B32D0136,001,27-02-1979,735,711,389,,,,,,
B32D0136,001,14-03-1979,727,703,397,,,,,,
B32D0136,001,28-03-1979,720,696,404,,,,,,
B32D0136,001,12-04-1979,712,688,412,,,,,,
B32D0136,001,25-04-1979,708,684,416,,,,,,
B32D0136,001,14-05-1979,706,682,418,,,,,,
B32D0136,001,28-05-1979,705,681,419,,,,,,
B32D0136,001,14-06-1979,700,676,424,,,,,,
B32D0136,001,28-06-1979,692,668,432,,,,,,
B32D0136,001,13-07-1979,688,664,436,,,,,,
B32D0136,001,30-07-1979,692,668,432,,,,,,
B32D0136,001,13-08-1979,690,666,434,,,,,,
B32D0136,001,28-08-1979,694,670,430,,,,,,
B32D0136,001,14-09-1979,696,672,428,,,,,,
B32D0136,001,28-09-1979,697,673,427,,,,,,
B32D0136,001,15-10-1979,694,670,430,,,,,,
B32D0136,001,29-10-1979,696,672,428,,,,,,
B32D0136,001,14-11-1979,692,668,432,,,,,,
B32D0136,001,28-11-1979,695,671,429,,,,,,
B32D0136,001,14-12-1979,695,671,429,,,,,,
B32D0136,001,27-12-1979,690,666,434,,,,,,
B32D0136,001,14-01-1980,682,658,442,,,,,,
B32D0136,001,28-01-1980,681,657,443,,,,,,
B32D0136,001,14-02-1980,678,654,446,,,,,,
B32D0136,001,28-02-1980,665,641,459,,,,,,
B32D0136,001,14-03-1980,665,641,459,,,,,,
B32D0136,001,28-03-1980,665,641,459,,,,,,
B32D0136,001,14-04-1980,669,645,455,,,,,,
B32D0136,001,28-04-1980,660,636,464,,,,,,
B32D0136,001,16-05-1980,664,640,460,,,,,,
B32D0136,001,28-05-1980,663,639,461,,,,,,
B32D0136,001,16-06-1980,666,642,458,,,,,,
B32D0136,001,30-06-1980,672,648,452,,,,,,
B32D0136,001,15-07-1980,666,642,458,,,,,,
B32D0136,001,28-07-1980,667,643,457,,,,,,
B32D0136,001,14-08-1980,670,646,454,,,,,,
B32D0136,001,28-08-1980,673,649,451,,,,,,
B32D0136,001,15-09-1980,676,652,448,,,,,,
B32D0136,001,29-09-1980,679,655,445,,,,,,
B32D0136,001,14-10-1980,675,651,449,,,,,,
B32D0136,001,28-10-1980,674,650,450,,,,,,
B32D0136,001,17-11-1980,672,648,452,,,,,,
B32D0136,001,28-11-1980,665,641,459,,,,,,
B32D0136,001,15-12-1980,682,658,442,,,,,,
B32D0136,001,29-12-1980,677,653,447,,,,,,
B32D0136,001,14-01-1981,665,641,459,,,,,,
B32D0136,001,28-01-1981,650,626,474,,,,,,
B32D0136,001,16-02-1981,653,629,471,,,,,,
B32D0136,001,27-02-1981,644,620,480,,,,,,
B32D0136,001,13-03-1981,646,622,478,,,,,,
B32D0136,001,27-03-1981,627,603,497,,,,,,
B32D0136,001,14-04-1981,635,611,489,,,,,,
B32D0136,001,28-04-1981,640,616,484,,,,,,
B32D0136,001,14-05-1981,630,606,494,,,,,,
B32D0136,001,28-05-1981,634,610,490,,,,,,
B32D0136,001,15-06-1981,634,610,490,,,,,,
B32D0136,001,29-06-1981,637,613,487,,,,,,
B32D0136,001,14-07-1981,637,613,487,,,,,,
B32D0136,001,27-07-1981,634,610,490,,,,,,
B32D0136,001,14-08-1981,638,614,486,,,,,,
B32D0136,001,28-08-1981,642,618,482,,,,,,
B32D0136,001,14-09-1981,646,622,478,,,,,,
B32D0136,001,28-09-1981,651,627,473,,,,,,
B32D0136,001,14-10-1981,651,627,473,,,,,,
