Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-14/09/2015
Datum: 14/09/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B58C0698,001,58CP7805,181600,359260,3017,,3026,2648,2598,1985/10/28,2002/08/23
B58C0698,001,58CP7805,181600,359260,3017,,3025,2647,2597,2002/08/23,2015/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B58C0698,001,1997/11/27 00:00:00,277,
B58C0698,001,1997/12/14 00:00:00,258,
B58C0698,001,1998/01/14 00:00:00,215,
B58C0698,001,1998/01/28 00:00:00,216,
B58C0698,001,1998/02/14 00:00:00,218,
B58C0698,001,1998/02/28 00:00:00,219,
B58C0698,001,1998/03/14 00:00:00,189,
B58C0698,001,1998/03/28 00:00:00,198,
B58C0698,001,1998/04/14 00:00:00,184,
B58C0698,001,1998/04/28 00:00:00,183,
B58C0698,001,1998/05/14 00:00:00,216,
B58C0698,001,1998/05/28 00:00:00,224,
B58C0698,001,1998/06/15 00:00:00,182,
B58C0698,001,1998/06/29 00:00:00,198,
B58C0698,001,1998/07/15 00:00:00,207,
B58C0698,001,1998/07/28 00:00:00,226,
B58C0698,001,1998/08/13 00:00:00,255,
B58C0698,001,1998/08/28 00:00:00,256,
B58C0698,001,1998/09/14 00:00:00,205,
B58C0698,001,1998/09/28 00:00:00,203,
B58C0698,001,1998/10/14 00:00:00,192,
B58C0698,001,1998/10/29 00:00:00,169,
B58C0698,001,1998/11/15 00:00:00,147,
B58C0698,001,1998/11/29 00:00:00,151,
B58C0698,001,1998/12/14 00:00:00,143,
B58C0698,001,1998/12/29 00:00:00,146,
B58C0698,001,1999/01/14 00:00:00,139,
B58C0698,001,1999/01/29 00:00:00,141,
B58C0698,001,1999/02/15 00:00:00,130,
B58C0698,001,1999/02/28 00:00:00,128,
B58C0698,001,1999/03/15 00:00:00,153,
B58C0698,001,1999/03/27 00:00:00,148,
B58C0698,001,1999/04/15 00:00:00,159,
B58C0698,001,1999/04/28 00:00:00,181,
B58C0698,001,1999/05/14 00:00:00,181,
B58C0698,001,1999/05/28 00:00:00,226,
B58C0698,001,1999/06/14 00:00:00,236,
B58C0698,001,1999/06/28 00:00:00,254,
B58C0698,001,1999/07/14 00:00:00,254,
B58C0698,001,1999/07/28 00:00:00,287,
B58C0698,001,1999/09/14 00:00:00,292,
B58C0698,001,1999/09/29 00:00:00,287,
B58C0698,001,1999/10/14 00:00:00,281,
B58C0698,001,1999/10/27 00:00:00,287,
B58C0698,001,1999/11/28 00:00:00,270,
B58C0698,001,1999/12/14 00:00:00,244,
B58C0698,001,1999/12/28 00:00:00,213,
B58C0698,001,2000/01/14 00:00:00,210,
B58C0698,001,2000/01/28 00:00:00,206,
B58C0698,001,2000/02/14 00:00:00,193,
B58C0698,001,2000/02/28 00:00:00,178,
B58C0698,001,2000/03/14 00:00:00,170,
B58C0698,001,2000/03/28 00:00:00,180,
B58C0698,001,2000/04/14 00:00:00,193,
B58C0698,001,2000/04/28 00:00:00,202,
B58C0698,001,2000/05/14 00:00:00,220,
B58C0698,001,2000/05/28 00:00:00,221,
B58C0698,001,2000/06/14 00:00:00,234,
B58C0698,001,2000/07/14 00:00:00,240,
B58C0698,001,2000/07/28 00:00:00,234,
B58C0698,001,2000/08/14 00:00:00,260,
B58C0698,001,2000/08/28 00:00:00,268,
B58C0698,001,2000/09/14 00:00:00,265,
B58C0698,001,2000/09/28 00:00:00,262,
B58C0698,001,2000/10/14 00:00:00,250,
B58C0698,001,2000/10/28 00:00:00,237,
B58C0698,001,2000/11/14 00:00:00,225,
B58C0698,001,2000/11/28 00:00:00,208,
B58C0698,001,2000/12/14 00:00:00,197,
B58C0698,001,2000/12/28 00:00:00,210,
B58C0698,001,2001/01/14 00:00:00,,Y
B58C0698,001,2001/01/28 00:00:00,182,
B58C0698,001,2001/02/14 00:00:00,171,
B58C0698,001,2001/02/28 00:00:00,166,
B58C0698,001,2001/03/14 00:00:00,167,
B58C0698,001,2001/04/14 00:00:00,167,
B58C0698,001,2001/04/28 00:00:00,155,
B58C0698,001,2001/05/14 00:00:00,186,
B58C0698,001,2001/05/28 00:00:00,209,
B58C0698,001,2001/06/14 00:00:00,230,
B58C0698,001,2001/07/14 00:00:00,278,
B58C0698,001,2001/07/28 00:00:00,288,
B58C0698,001,2001/08/14 00:00:00,285,
B58C0698,001,2001/08/28 00:00:00,305,
B58C0698,001,2001/09/14 00:00:00,227,
B58C0698,001,2001/09/28 00:00:00,247,
B58C0698,001,2001/10/14 00:00:00,241,
B58C0698,001,2001/10/28 00:00:00,238,
B58C0698,001,2001/11/14 00:00:00,230,
B58C0698,001,2001/11/28 00:00:00,216,
B58C0698,001,2001/12/14 00:00:00,208,
B58C0698,001,2002/01/14 00:00:00,196,
B58C0698,001,2002/01/28 00:00:00,170,
B58C0698,001,2002/03/14 00:00:00,152,
B58C0698,001,2002/03/28 00:00:00,164,
B58C0698,001,2002/04/14 00:00:00,188,
B58C0698,001,2002/04/28 00:00:00,180,
B58C0698,001,2002/05/14 00:00:00,190,
B58C0698,001,2002/06/14 00:00:00,219,
B58C0698,001,2002/07/14 00:00:00,224,
B58C0698,001,2002/07/28 00:00:00,235,
B58C0698,001,2002/08/28 00:00:00,209,
B58C0698,001,2002/11/15 00:00:00,193,
B58C0698,001,2003/01/15 00:00:00,163,
B58C0698,001,2003/01/27 00:00:00,170,
B58C0698,001,2003/02/14 00:00:00,174,
B58C0698,001,2003/02/28 00:00:00,183,
B58C0698,001,2003/03/14 00:00:00,163,
B58C0698,001,2003/03/28 00:00:00,180,
B58C0698,001,2003/04/14 00:00:00,192,
B58C0698,001,2003/04/28 00:00:00,200,
B58C0698,001,2003/05/15 00:00:00,213,
B58C0698,001,2003/05/28 00:00:00,199,
B58C0698,001,2003/06/16 00:00:00,228,
B58C0698,001,2003/07/15 00:00:00,271,
B58C0698,001,2003/08/29 00:00:00,307,
B58C0698,001,2003/09/15 00:00:00,296,
B58C0698,001,2004/01/30 00:00:00,200,
B58C0698,001,2004/02/13 00:00:00,183,
B58C0698,001,2004/02/27 00:00:00,186,
B58C0698,001,2004/03/13 00:00:00,,N
B58C0698,001,2004/03/26 00:00:00,198,
B58C0698,001,2004/04/14 00:00:00,196,
B58C0698,001,2004/04/28 00:00:00,207,
B58C0698,001,2004/05/14 00:00:00,217,
B58C0698,001,2004/05/28 00:00:00,238,
B58C0698,001,2004/06/14 00:00:00,239,
B58C0698,001,2004/06/28 00:00:00,268,
B58C0698,001,2004/08/14 00:00:00,262,
B58C0698,001,2004/08/28 00:00:00,261,
B58C0698,001,2004/09/14 00:00:00,282,
B58C0698,001,2004/09/28 00:00:00,272,
B58C0698,001,2004/10/14 00:00:00,270,
B58C0698,001,2004/10/28 00:00:00,270,
B58C0698,001,2004/11/14 00:00:00,266,
B58C0698,001,2004/11/28 00:00:00,228,
B58C0698,001,2004/12/14 00:00:00,223,
B58C0698,001,2004/12/28 00:00:00,213,
B58C0698,001,2005/01/14 00:00:00,213,
B58C0698,001,2005/01/28 00:00:00,198,
B58C0698,001,2005/02/14 00:00:00,177,
B58C0698,001,2005/02/28 00:00:00,188,
B58C0698,001,2005/03/14 00:00:00,183,
B58C0698,001,2005/03/28 00:00:00,190,
B58C0698,001,2005/04/14 00:00:00,197,
B58C0698,001,2005/04/28 00:00:00,193,
B58C0698,001,2005/05/14 00:00:00,193,
B58C0698,001,2005/05/28 00:00:00,213,
B58C0698,001,2005/07/14 00:00:00,257,
B58C0698,001,2005/07/28 00:00:00,278,
B58C0698,001,2005/08/14 00:00:00,281,
B58C0698,001,2005/08/28 00:00:00,276,
B58C0698,001,2005/09/14 00:00:00,276,
B58C0698,001,2005/09/28 00:00:00,274,
B58C0698,001,2005/10/14 00:00:00,284,
B58C0698,001,2005/10/28 00:00:00,270,
B58C0698,001,2005/11/14 00:00:00,267,
B58C0698,001,2005/11/28 00:00:00,243,
B58C0698,001,2005/12/14 00:00:00,237,
B58C0698,001,2005/12/28 00:00:00,231,
B58C0698,001,2006/01/14 00:00:00,224,
B58C0698,001,2006/01/28 00:00:00,228,
B58C0698,001,2006/02/14 00:00:00,217,
B58C0698,001,2006/02/28 00:00:00,204,
B58C0698,001,2006/03/14 00:00:00,185,
B58C0698,001,2006/03/28 00:00:00,192,
B58C0698,001,2006/04/14 00:00:00,193,
B58C0698,001,2006/04/28 00:00:00,200,
B58C0698,001,2006/05/14 00:00:00,226,
B58C0698,001,2006/05/28 00:00:00,212,
B58C0698,001,2006/06/14 00:00:00,238,
B58C0698,001,2006/06/28 00:00:00,253,
B58C0698,001,2006/07/14 00:00:00,291,
B58C0698,001,2006/07/28 00:00:00,331,
B58C0698,001,2006/08/14 00:00:00,288,
B58C0698,001,2006/08/28 00:00:00,265,
B58C0698,001,2006/09/14 00:00:00,265,
B58C0698,001,2006/09/28 00:00:00,276,
B58C0698,001,2006/10/14 00:00:00,264,
B58C0698,001,2006/10/28 00:00:00,270,
B58C0698,001,2006/11/14 00:00:00,256,
B58C0698,001,2006/11/28 00:00:00,238,
B58C0698,001,2006/12/14 00:00:00,222,
B58C0698,001,2006/12/28 00:00:00,221,
B58C0698,001,2007/01/14 00:00:00,196,
B58C0698,001,2007/01/28 00:00:00,192,
B58C0698,001,2007/03/14 00:00:00,164,
B58C0698,001,2007/03/28 00:00:00,179,
B58C0698,001,2007/04/14 00:00:00,197,
B58C0698,001,2007/04/28 00:00:00,223,
B58C0698,001,2007/05/14 00:00:00,224,
B58C0698,001,2007/05/28 00:00:00,223,
B58C0698,001,2007/06/14 00:00:00,234,
B58C0698,001,2007/06/28 00:00:00,236,
B58C0698,001,2007/07/14 00:00:00,240,
B58C0698,001,2007/07/28 00:00:00,253,
B58C0698,001,2007/08/14 00:00:00,228,
B58C0698,001,2007/08/28 00:00:00,230,
B58C0698,001,2007/09/14 00:00:00,245,
B58C0698,001,2007/09/28 00:00:00,242,
B58C0698,001,2007/10/14 00:00:00,239,
B58C0698,001,2007/10/28 00:00:00,248,
B58C0698,001,2007/11/14 00:00:00,210,
B58C0698,001,2007/11/28 00:00:00,212,
B58C0698,001,2007/12/14 00:00:00,190,
B58C0698,001,2007/12/28 00:00:00,197,
B58C0698,001,2008/01/14 00:00:00,189,
B58C0698,001,2008/01/28 00:00:00,185,
B58C0698,001,2008/02/14 00:00:00,181,
B58C0698,001,2008/02/28 00:00:00,189,
B58C0698,001,2008/03/14 00:00:00,187,
B58C0698,001,2008/03/28 00:00:00,172,
B58C0698,001,2008/04/14 00:00:00,168,
B58C0698,001,2008/04/28 00:00:00,173,
B58C0698,001,2008/05/14 00:00:00,,N
B58C0698,001,2008/05/28 00:00:00,217,
B58C0698,001,2008/06/14 00:00:00,217,
B58C0698,001,2008/06/28 00:00:00,230,
B58C0698,001,2008/07/14 00:00:00,235,
B58C0698,001,2008/07/28 00:00:00,248,
B58C0698,001,2008/08/14 00:00:00,251,
B58C0698,001,2008/08/28 00:00:00,259,
B58C0698,001,2008/09/14 00:00:00,268,
B58C0698,001,2008/09/28 00:00:00,274,
B58C0698,001,2008/10/14 00:00:00,257,
B58C0698,001,2008/10/28 00:00:00,250,
