Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,28-08-1973,tot:,14-09-2018,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0731,001,46DP0056,194682,401054,1781,28-08-1973,28-08-1973,08-11-1994,1781,0,984,884
B46D0731,001,46DP0056,194682,401054,1781,08-11-1994,08-11-1994,04-01-2011,1772,-9,1018,918
B46D0731,001,46DP0056,194682,401054,1778,04-01-2011,04-01-2011,02-07-2013,1867,89,1018,918
B46D0731,001,46DP0056,194682,401054,1778,02-07-2013,02-07-2013,14-09-2018,1858,80,1018,918


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46D0731,001,28-09-1987,250,250,1531,,,,,,
B46D0731,001,13-10-1987,248,248,1533,,,,,,
B46D0731,001,28-10-1987,245,245,1536,,,,,,
B46D0731,001,13-11-1987,253,253,1528,,,,,,
B46D0731,001,27-11-1987,223,223,1558,,,,,,
B46D0731,001,14-12-1987,230,230,1551,,,,,,
B46D0731,001,28-12-1987,218,218,1563,,,,,,
B46D0731,001,15-01-1988,200,200,1581,,,,,,
B46D0731,001,28-01-1988,183,183,1598,,,,,,
B46D0731,001,17-02-1988,153,153,1628,,,,,,
B46D0731,001,29-02-1988,155,155,1626,,,,,,
B46D0731,001,14-03-1988,145,145,1636,,,,,,
B46D0731,001,28-03-1988,131,131,1650,,,,,,
B46D0731,001,13-04-1988,149,149,1632,,,,,,
B46D0731,001,28-04-1988,167,167,1614,,,,,,
B46D0731,001,16-05-1988,172,172,1609,,,,,,
B46D0731,001,30-05-1988,184,184,1597,,,,,,
B46D0731,001,14-06-1988,199,199,1582,,,,,,
B46D0731,001,28-06-1988,218,218,1563,,,,,,
B46D0731,001,15-07-1988,218,218,1563,,,,,,
B46D0731,001,28-07-1988,191,191,1590,,,,,,
B46D0731,001,15-08-1988,205,205,1576,,,,,,
B46D0731,001,29-08-1988,220,220,1561,,,,,,
B46D0731,001,15-09-1988,231,231,1550,,,,,,
B46D0731,001,28-09-1988,210,210,1571,,,,,,
B46D0731,001,14-10-1988,193,193,1588,,,,,,
B46D0731,001,28-10-1988,194,194,1587,,,,,,
B46D0731,001,14-11-1988,211,211,1570,,,,,,
B46D0731,001,28-11-1988,221,221,1560,,,,,,
B46D0731,001,14-12-1988,209,209,1572,,,,,,
B46D0731,001,28-12-1988,194,194,1587,,,,,,
B46D0731,001,16-01-1989,198,198,1583,,,,,,
B46D0731,001,27-01-1989,204,204,1577,,,,,,
B46D0731,001,14-02-1989,211,211,1570,,,,,,
B46D0731,001,28-02-1989,205,205,1576,,,,,,
B46D0731,001,14-03-1989,188,188,1593,,,,,,
B46D0731,001,28-03-1989,181,181,1600,,,,,,
B46D0731,001,14-04-1989,198,198,1583,,,,,,
B46D0731,001,28-04-1989,189,189,1592,,,,,,
B46D0731,001,16-05-1989,201,201,1580,,,,,,
