Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,14-01-2021,,,,,,,,
Gegevens beschikbaar:,06-06-2012,tot:,18-09-2019,,,,,,,,
Datum: ,14-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1804,001,,256559,485068,1944,01-12-2011,01-12-2011,06-06-2012,,,,
B28H1804,001,,256559,485068,1944,01-12-2011,06-06-2012,18-09-2019,2001,57,1846,1796


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1804,001,12-10-2013,57,0,1944,,,,,,
B28H1804,001,13-10-2013,53,-4,1948,,,,,,
B28H1804,001,14-10-2013,54,-3,1947,,,,,,
B28H1804,001,15-10-2013,55,-2,1946,,,,,,
B28H1804,001,16-10-2013,54,-3,1947,,,,,,
B28H1804,001,17-10-2013,55,-2,1946,,,,,,
B28H1804,001,18-10-2013,56,-1,1945,,,,,,
B28H1804,001,19-10-2013,57,0,1944,,,,,,
B28H1804,001,20-10-2013,56,-1,1945,,,,,,
B28H1804,001,21-10-2013,57,0,1944,,,,,,
B28H1804,001,22-10-2013,58,1,1943,,,,,,
B28H1804,001,23-10-2013,55,-2,1946,,,,,,
B28H1804,001,24-10-2013,55,-2,1946,,,,,,
B28H1804,001,25-10-2013,56,-1,1945,,,,,,
B28H1804,001,26-10-2013,55,-2,1946,,,,,,
B28H1804,001,27-10-2013,55,-2,1946,,,,,,
B28H1804,001,28-10-2013,53,-4,1948,,,,,,
B28H1804,001,29-10-2013,54,-3,1947,,,,,,
B28H1804,001,30-10-2013,54,-3,1947,,,,,,
B28H1804,001,31-10-2013,54,-3,1947,,,,,,
B28H1804,001,01-11-2013,54,-3,1947,,,,,,
B28H1804,001,02-11-2013,52,-5,1949,,,,,,
B28H1804,001,03-11-2013,52,-5,1949,,,,,,
B28H1804,001,04-11-2013,49,-8,1952,,,,,,
B28H1804,001,05-11-2013,50,-7,1951,,,,,,
B28H1804,001,06-11-2013,50,-7,1951,,,,,,
