DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
336,19280302,    0,     ,
336,19280303,    0,     ,
336,19280304,    0,     ,
336,19280305,    0,     ,
336,19280306,    0,     ,
336,19280307,   40,     ,
336,19280308,   16,     ,
336,19280309,    0,     ,
336,19280310,    0,     ,
336,19280311,    2,     ,
336,19280312,    1,     ,
336,19280313,    2,     ,
336,19280314,    2,     ,
336,19280315,    0,     ,
336,19280316,    0,     ,
336,19280317,    0,     ,
336,19280318,    0,     ,
336,19280319,    0,     ,
336,19280320,    0,     ,
336,19280321,    0,     ,
336,19280322,    0,     ,
336,19280323,   34,     ,
336,19280324,   41,     ,
336,19280325,    0,     ,
336,19280326,    1,     ,
336,19280327,    2,     ,
336,19280328,    0,     ,
336,19280329,   13,     ,
336,19280330,   45,     ,
336,19280331,   55,     ,
336,19280401,    7,     ,
336,19280402,    0,     ,
336,19280403,    0,     ,
336,19280404,   36,     ,
336,19280405,   48,     ,
336,19280406,   35,     ,
336,19280407,    0,     ,
336,19280408,    0,     ,
336,19280409,    0,     ,
336,19280410,    0,     ,
336,19280411,    0,     ,
336,19280412,   18,     ,
336,19280413,   19,     ,
336,19280414,    0,     ,
336,19280415,    0,     ,
336,19280416,    0,     ,
336,19280417,   56,     ,
336,19280418,   14,     ,
336,19280419,   46,     ,
336,19280420,   53,     ,
336,19280421,   34,     ,
336,19280422,   13,     ,
336,19280423,   23,     ,
336,19280424,    0,     ,
336,19280425,    0,     ,
336,19280426,    0,     ,
336,19280427,    0,     ,
336,19280428,    0,     ,
336,19280429,    0,     ,
336,19280430,   15,     ,
336,19280501,    0,     ,
336,19280502,    0,     ,
336,19280503,    0,     ,
336,19280504,    0,     ,
336,19280505,    0,     ,
336,19280506,    0,     ,
336,19280507,    0,     ,
336,19280508,    0,     ,
336,19280509,   24,     ,
336,19280510,   11,     ,
336,19280511,    1,     ,
336,19280512,   64,     ,
336,19280513,   20,     ,
336,19280514,    1,     ,
336,19280515,   20,     ,
336,19280516,   18,     ,
336,19280517,   88,     ,
336,19280518,   53,     ,
336,19280519,   26,     ,
336,19280520,   68,     ,
336,19280521,  134,     ,
336,19280522,  191,     ,
336,19280523,  148,     ,
336,19280524,    4,     ,
336,19280525,   36,     ,
336,19280526,    0,     ,
336,19280527,    0,     ,
336,19280528,    0,     ,
336,19280529,    0,     ,
336,19280530,    0,     ,
336,19280531,    0,     ,
336,19280601,    0,     ,
336,19280602,    0,     ,
336,19280603,    0,     ,
336,19280604,    0,     ,
336,19280605,    0,     ,
336,19280606,    0,     ,
336,19280607,    0,     ,
336,19280608,   88,     ,
336,19280609,   82,     ,
336,19280610,   23,     ,
336,19280611,   10,     ,
336,19280612,    0,     ,
336,19280613,    0,     ,
336,19280614,   19,     ,
336,19280615,   23,     ,
336,19280616,   60,     ,
336,19280617,   36,     ,
336,19280618,   13,     ,
336,19280619,   32,     ,
336,19280620,    6,     ,
336,19280621,   54,     ,
336,19280622,    0,     ,
336,19280623,    0,     ,
336,19280624,    0,     ,
336,19280625,    0,     ,
336,19280626,    0,     ,
336,19280627,   68,     ,
336,19280628,    1,     ,
336,19280629,    0,     ,
336,19280630,    0,     ,
336,19280701,    0,     ,
336,19280702,    0,     ,
336,19280703,    0,     ,
336,19280704,   42,     ,
336,19280705,    0,     ,
336,19280706,   24,     ,
336,19280707,   58,     ,
336,19280708,    0,     ,
336,19280709,    0,     ,
336,19280710,    0,     ,
336,19280711,    0,     ,
336,19280712,    0,     ,
336,19280713,    0,     ,
336,19280714,    0,     ,
336,19280715,    0,     ,
336,19280716,    0,     ,
336,19280717,    0,     ,
336,19280718,    0,     ,
336,19280719,    0,     ,
336,19280720,    0,     ,
336,19280721,    0,     ,
336,19280722,    4,     ,
336,19280723,   21,     ,
336,19280724,    0,     ,
336,19280725,    3,     ,
336,19280726,    0,     ,
