date,B28H1804_2
2013-05-14 20:00:00,19.477
2013-05-15 20:00:00,19.474
2013-05-16 20:00:00,19.531
2013-05-17 20:00:00,19.524
2013-05-18 20:00:00,19.525
2013-05-19 20:00:00,19.511
2013-05-20 20:00:00,19.513
2013-05-21 20:00:00,19.529
2013-05-22 20:00:00,19.532
2013-05-23 20:00:00,19.54
2013-05-24 20:00:00,19.515
2013-05-25 20:00:00,19.498
2013-05-26 20:00:00,19.522
2013-05-27 20:00:00,19.491
2013-05-28 20:00:00,19.474
2013-05-29 20:00:00,19.515
2013-05-30 20:00:00,19.489
2013-05-31 20:00:00,19.463
2013-06-01 20:00:00,19.46
2013-06-02 20:00:00,19.43
2013-06-03 20:00:00,19.417
2013-06-04 20:00:00,19.393
2013-06-05 20:00:00,19.365
2013-06-06 20:00:00,19.335
2013-06-07 20:00:00,19.309
2013-06-08 20:00:00,19.288
2013-06-09 20:00:00,19.273
2013-06-10 20:00:00,19.256
2013-06-11 20:00:00,19.236
2013-06-12 20:00:00,19.229
2013-06-13 20:00:00,19.287
2013-06-14 20:00:00,19.248
2013-06-15 20:00:00,19.214
2013-06-16 20:00:00,19.184
2013-06-17 20:00:00,19.15
2013-06-18 20:00:00,19.099
2013-06-19 20:00:00,19.088
2013-06-20 20:00:00,19.426
2013-06-21 20:00:00,19.47
2013-06-22 20:00:00,19.428
2013-06-23 20:00:00,19.424
2013-06-24 20:00:00,19.437
2013-06-25 20:00:00,19.395
2013-06-26 20:00:00,19.377
2013-06-27 20:00:00,19.376
2013-06-28 20:00:00,19.464
2013-06-29 20:00:00,19.473
2013-06-30 20:00:00,19.45
2013-07-01 20:00:00,19.42
2013-07-02 20:00:00,19.391
2013-07-03 20:00:00,19.392
2013-07-04 20:00:00,19.366
2013-07-05 20:00:00,19.346
2013-07-06 20:00:00,19.294
2013-07-07 20:00:00,19.256
2013-07-08 20:00:00,19.212
2013-07-09 20:00:00,19.174
2013-07-10 20:00:00,19.179
2013-07-11 20:00:00,19.137
2013-07-12 20:00:00,19.152
2013-07-13 20:00:00,19.102
2013-07-14 20:00:00,19.096
2013-07-15 20:00:00,19.053
2013-07-16 20:00:00,19.027
2013-07-17 20:00:00,19.008
2013-07-18 20:00:00,18.976
2013-07-19 20:00:00,18.96
2013-07-20 20:00:00,18.957
2013-07-21 20:00:00,18.917
2013-07-22 20:00:00,18.885
2013-07-23 20:00:00,18.846
2013-07-24 20:00:00,19.007
2013-07-25 20:00:00,18.996
2013-07-26 20:00:00,19.039
2013-07-27 20:00:00,19.224
2013-07-28 20:00:00,19.207
2013-07-29 20:00:00,19.144
2013-07-30 20:00:00,19.112
2013-07-31 20:00:00,19.116
2013-08-01 20:00:00,19.037
2013-08-02 20:00:00,18.957
2013-08-03 20:00:00,18.93
2013-08-04 20:00:00,18.894
2013-08-05 20:00:00,18.853
2013-08-06 20:00:00,18.862
2013-08-07 20:00:00,18.985
2013-08-08 20:00:00,18.949
2013-08-09 20:00:00,18.913
2013-08-10 20:00:00,18.896
