,Extraction 4
1975-03-01,5974.027397260274
1975-04-01,5974.027397260274
1975-05-01,5974.027397260274
1975-06-01,5974.027397260274
1975-07-01,5974.027397260274
1975-08-01,5974.027397260274
1975-09-01,5974.027397260274
1975-10-01,5974.027397260274
1975-11-01,5974.027397260274
1975-12-01,5974.027397260274
1976-01-01,5974.027397260274
1976-02-01,6651.1202185792345
1976-03-01,6651.120218579236
1976-04-01,6651.1202185792345
1976-05-01,6651.120218579235
1976-06-01,6651.1202185792345
1976-07-01,6651.120218579235
1976-08-01,6651.1202185792345
1976-09-01,6651.1202185792345
1976-10-01,6651.120218579235
1976-11-01,6651.1202185792345
1976-12-01,6651.120218579235
1977-01-01,6651.1202185792345
1977-02-01,6156.767123287671
1977-03-01,6156.76712328767
1977-04-01,6156.767123287671
1977-05-01,6156.767123287671
1977-06-01,6156.767123287671
1977-07-01,6156.767123287671
1977-08-01,6156.767123287671
1977-09-01,6156.767123287671
1977-10-01,6156.767123287671
1977-11-01,6156.767123287671
1977-12-01,6156.767123287671
1978-01-01,6156.767123287671
1978-02-01,6070.602739726028
1978-03-01,6070.602739726028
1978-04-01,6070.602739726028
1978-05-01,6070.602739726028
1978-06-01,6070.602739726028
1978-07-01,6070.602739726028
1978-08-01,6070.602739726028
1978-09-01,6070.602739726028
1978-10-01,6070.602739726028
1978-11-01,6070.602739726028
1978-12-01,6070.602739726028
1979-01-01,6070.602739726028
1979-02-01,5641.301369863014
1979-03-01,5641.301369863014
1979-04-01,5641.301369863014
1979-05-01,5641.301369863014
1979-06-01,5641.301369863014
1979-07-01,5641.301369863014
1979-08-01,5641.301369863014
1979-09-01,5641.301369863014
1979-10-01,5641.301369863014
1979-11-01,5641.301369863014
1979-12-01,5641.301369863014
1980-01-01,5641.301369863014
1980-02-01,5094.573770491803
1980-03-01,5094.573770491803
1980-04-01,5094.573770491803
1980-05-01,5094.573770491803
1980-06-01,5094.573770491803
1980-07-01,5094.573770491803
1980-08-01,5094.573770491803
1980-09-01,5094.573770491803
1980-10-01,5094.573770491803
1980-11-01,5094.573770491803
1980-12-01,5094.573770491803
1981-01-01,5094.573770491803
1981-02-01,6579.227397260274
1981-03-01,6579.227397260275
1981-04-01,6579.227397260274
1981-05-01,6579.227397260274
1981-06-01,6579.227397260274
1981-07-01,6579.227397260274
1981-08-01,6579.227397260274
1981-09-01,6579.227397260274
1981-10-01,6579.227397260274
1981-11-01,6579.227397260274
1981-12-01,6579.227397260274
1982-01-01,6579.227397260274
1982-02-01,8182.320547945205
1982-03-01,8182.320547945205
1982-04-01,8182.320547945205
1982-05-01,8182.320547945205
1982-06-01,8182.320547945205
1982-07-01,8182.320547945205
1982-08-01,8182.320547945205
1982-09-01,8182.320547945205
1982-10-01,8182.320547945205
1982-11-01,8182.320547945205
1982-12-01,8182.320547945205
1983-01-01,8182.320547945205
1983-02-01,8869.334246575343
1983-03-01,8869.334246575343
1983-04-01,8869.334246575343
1983-05-01,8869.334246575343
1983-06-01,8869.334246575343
1983-07-01,8869.334246575343
1983-08-01,8869.334246575343
1983-09-01,8869.334246575343
1983-10-01,8869.334246575343
1983-11-01,8869.334246575343
1983-12-01,8869.334246575343
1984-01-01,8869.334246575343
1984-02-01,8293.934426229509
1984-03-01,8293.934426229509
1984-04-01,8293.934426229509
1984-05-01,8293.934426229509
1984-06-01,8293.934426229509
1984-07-01,8293.934426229509
1984-08-01,8293.934426229509
1984-09-01,8293.934426229509
1984-10-01,8293.934426229509
1984-11-01,8293.934426229509
1984-12-01,8293.934426229509
1985-01-01,8293.934426229509
1985-02-01,6888.219178082192
1985-03-01,6888.219178082193
1985-04-01,6888.219178082192
1985-05-01,6888.219178082192
1985-06-01,6888.219178082192
1985-07-01,6888.219178082192
1985-08-01,6888.219178082192
1985-09-01,6888.219178082192
1985-10-01,6888.219178082192
1985-11-01,6888.219178082192
1985-12-01,6888.219178082192
1986-01-01,6888.219178082192
1986-02-01,6938.064516129032
1986-03-01,6961.785714285715
1986-04-01,7349.677419354839
1986-05-01,7211.0
1986-06-01,8279.032258064517
1986-07-01,9257.0
1986-08-01,7771.290322580645
1986-09-01,8913.548387096775
1986-10-01,8542.666666666666
1986-11-01,8448.387096774193
