,Extraction 3
1979-04-01,19304.41935483871
1979-05-01,19211.233333333334
1979-06-01,18445.935483870966
1979-07-01,19176.666666666668
1979-08-01,19115.354838709678
1979-09-01,18762.935483870966
1979-10-01,19377.533333333333
1979-11-01,18759.129032258064
1979-12-01,18469.966666666667
1980-01-01,18043.225806451614
1980-02-01,21129.90322580645
1980-03-01,19336.931034482757
1980-04-01,21587.354838709678
1980-05-01,21712.166666666668
1980-06-01,21485.548387096773
1980-07-01,18512.666666666668
1980-08-01,18521.774193548386
1980-09-01,18172.870967741936
1980-10-01,17663.833333333332
1980-11-01,20738.967741935485
1980-12-01,21878.3
1981-01-01,21695.58064516129
1981-02-01,18544.0
1981-03-01,19473.10714285714
1981-04-01,17970.516129032258
1981-05-01,19412.7
1981-06-01,21178.451612903227
1981-07-01,17301.666666666668
1981-08-01,15459.354838709678
1981-09-01,18258.967741935485
1981-10-01,21705.133333333335
1981-11-01,19450.032258064515
1981-12-01,19927.233333333334
1982-01-01,20618.90322580645
1982-02-01,20881.354838709678
1982-03-01,19051.821428571428
1982-04-01,20524.645161290322
1982-05-01,20913.233333333334
1982-06-01,21312.032258064515
1982-07-01,20174.833333333332
1982-08-01,19680.064516129034
1982-09-01,19840.354838709678
1982-10-01,20946.7
1982-11-01,21682.58064516129
1982-12-01,20181.3
1983-01-01,19243.58064516129
1983-02-01,20354.1935483871
1983-03-01,20801.428571428572
1983-04-01,18976.58064516129
1983-05-01,19619.466666666667
1983-06-01,19025.354838709678
1983-07-01,19831.7
1983-08-01,20422.064516129034
1983-09-01,21266.322580645163
1983-10-01,21127.233333333334
1983-11-01,21208.451612903227
1983-12-01,21498.266666666666
1984-01-01,17934.935483870966
1984-02-01,18309.0
1984-03-01,18400.689655172413
1984-04-01,18277.387096774193
1984-05-01,18106.566666666666
1984-06-01,18915.74193548387
1984-07-01,19042.033333333333
1984-08-01,16559.451612903227
1984-09-01,20058.90322580645
1984-10-01,20423.933333333334
1984-11-01,18994.25806451613
1984-12-01,18748.033333333333
1985-01-01,17900.0
1985-02-01,20153.58064516129
1985-03-01,20751.964285714286
1985-04-01,19336.8064516129
1985-05-01,19641.766666666666
