DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
905,19200812,    0,     ,
905,19200813,    0,     ,
905,19200814,    0,     ,
905,19200815,    0,     ,
905,19200816,    0,     ,
905,19200817,    0,     ,
905,19200818,    0,     ,
905,19200819,   70,     ,
905,19200820,   60,     ,
905,19200821,   60,     ,
905,19200822,   37,     ,
905,19200823,   63,     ,
905,19200824,   43,     ,
905,19200825,  210,     ,
905,19200826,    2,     ,
905,19200827,    1,     ,
905,19200828,    0,     ,
905,19200829,    2,     ,
905,19200830,    0,     ,
905,19200831,    3,     ,
905,19200901,   35,     ,
905,19200902,   12,     ,
905,19200903,    0,     ,
905,19200904,   21,     ,
905,19200905,   31,     ,
905,19200906,   19,     ,
905,19200907,   20,     ,
905,19200908,    0,     ,
905,19200909,    0,     ,
905,19200910,    0,     ,
905,19200911,    0,     ,
905,19200912,    0,     ,
905,19200913,    0,     ,
905,19200914,    0,     ,
905,19200915,    0,     ,
905,19200916,    7,     ,
905,19200917,   70,     ,
905,19200918,   12,     ,
905,19200919,   13,     ,
905,19200920,    3,     ,
905,19200921,    0,     ,
905,19200922,   49,     ,
905,19200923,   22,     ,
905,19200924,    0,     ,
905,19200925,    0,     ,
905,19200926,   19,     ,
905,19200927,   22,     ,
905,19200928,    0,     ,
905,19200929,    0,     ,
905,19200930,    0,     ,
905,19201001,   10,     ,
905,19201002,   46,     ,
905,19201003,    1,     ,
905,19201004,    3,     ,
905,19201005,    0,     ,
905,19201006,    0,     ,
905,19201007,    0,     ,
905,19201008,    0,     ,
905,19201009,    0,     ,
905,19201010,    0,     ,
905,19201011,    0,     ,
905,19201012,    0,     ,
905,19201013,    0,     ,
905,19201014,    0,     ,
905,19201015,    0,     ,
905,19201016,   57,     ,
905,19201017,    0,     ,
905,19201018,    0,     ,
905,19201019,    0,     ,
905,19201020,    0,     ,
905,19201021,    0,     ,
905,19201022,    0,     ,
905,19201023,    0,     ,
905,19201024,    0,     ,
905,19201025,    0,     ,
905,19201026,    0,     ,
905,19201027,    0,     ,
905,19201028,    8,     ,
905,19201029,    0,     ,
905,19201030,    0,     ,
905,19201031,    0,     ,
905,19201101,    0,     ,
905,19201102,    0,     ,
905,19201103,    0,     ,
905,19201104,    0,     ,
905,19201105,    0,     ,
905,19201106,    0,     ,
905,19201107,    0,     ,
905,19201108,    0,     ,
905,19201109,    0,     ,
905,19201110,    0,     ,
905,19201111,    8,     ,
905,19201112,    0,     ,
905,19201113,    0,     ,
905,19201114,   32,     ,
905,19201115,    9,     ,
905,19201116,   75,     ,
905,19201117,    4,     ,
905,19201118,    3,     ,
905,19201119,    0,     ,
905,19201120,    0,     ,
905,19201121,    0,     ,
905,19201122,    0,     ,
905,19201123,    0,     ,
905,19201124,    0,     ,
905,19201125,    0,     ,
905,19201126,    0,     ,
905,19201127,    0,     ,
905,19201128,    0,     ,
905,19201129,    0,     ,
905,19201130,    2,     ,
905,19201201,   40,     ,
905,19201202,    0,     ,
905,19201203,    0,     ,
905,19201204,   64,     ,
905,19201205,   59,     ,
905,19201206,    4,     ,
905,19201207,    2,     ,
905,19201208,    2,     ,
905,19201209,    8,     ,
905,19201210,   14,     ,
905,19201211,    0,     ,
905,19201212,    2,     ,
905,19201213,    0,     ,
905,19201214,    0,     ,
905,19201215,    0,     ,
905,19201216,    0,     ,
905,19201217,    1,     ,
905,19201218,    0,     ,
905,19201219,    0,     ,
905,19201220,    0,     ,
905,19201221,    0,     ,
905,19201222,   10,     ,
905,19201223,   18,     ,
905,19201224,    4,     ,
905,19201225,   85,     ,
905,19201226,    0,     ,
905,19201227,    0,     ,
905,19201228,   60,     ,
905,19201229,   23,     ,
905,19201230,   20,     ,
905,19201231,   23,     ,
905,19210101,   54,     ,
905,19210102,   24,     ,
905,19210103,   20,     ,
905,19210104,   12,     ,
905,19210105,   24,     ,
905,19210106,   10,     ,
905,19210107,    0,     ,
905,19210108,    0,     ,
905,19210109,   10,     ,
905,19210110,   10,     ,
905,19210111,   60,     ,
905,19210112,   23,     ,
905,19210113,   65,     ,
905,19210114,   19,     ,
905,19210115,    0,     ,
905,19210116,    0,     ,
905,19210117,   15,     ,
905,19210118,   36,     ,
905,19210119,   88,     ,
905,19210120,   56,     ,
905,19210121,    1,     ,
905,19210122,    0,     ,
905,19210123,   41,     ,
905,19210124,    8,     ,
905,19210125,   18,     ,
905,19210126,   18,     ,
905,19210127,   32,     ,
905,19210128,    0,     ,
905,19210129,    0,     ,
905,19210130,    1,     ,
905,19210131,    0,     ,
905,19210201,    1,     ,
905,19210202,    0,     ,
905,19210203,   15,     ,
905,19210204,    1,     ,
905,19210205,    0,     ,
905,19210206,    0,     ,
905,19210207,    0,     ,
905,19210208,    0,     ,
905,19210209,    0,     ,
905,19210210,    2,     ,
905,19210211,    0,     ,
905,19210212,   10,     ,
905,19210213,    1,     ,
